state_colors
#313695
#4575B4
#3B7D1D
#FDCD8E
#8B4107
#7E3B8C
#313695
#FEE090
#9F4D06
#FDC778
#EA5839
#834492
#FDC681
#974807
#82BE45
#313695
#8AC34F
#B51026
#A37DB3
#C6E79C
#41831E
#A2D26B
#40004B
#D77911
#4575B4
#D73027
#611A6D
#9B4A06
#AAD875
#A75106
#92C858
#BFE492
#AD8ABD
#276419
#F3A548
#B797C6
#D0730F
#F7AE55
#BC9ECA
#EF623E
#E18417
#5FA12D
#EA952F
#D9EFBB
#FDD9A8
#EC9936
#9970AB
#B291C1
#FDC074
